,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
1232,"electricity, at cogen 1MWe lean burn, allocation exergy",CH,kWh,0,natural gas,cogeneration,9.6,0.50799,52.9,0.59128,,
1233,"electricity, at cogen 1MWe lean burn, allocation exergy",RER,kWh,0,natural gas,cogeneration,9.41,0.50573,53.7,0.5872,,
1234,"electricity, at cogen 1MWe lean burn, allocation heat",CH,kWh,0,natural gas,cogeneration,0.01,0.00037583,37.6,0.00039704,,
1235,"electricity, at cogen 1MWe lean burn, allocation heat",RER,kWh,0,natural gas,cogeneration,0.01,0.00037583,37.6,0.00039704,,
1236,"electricity, at cogen 200kWe lean burn, allocation energy",CH,kWh,0,natural gas,cogeneration,5.17,0.2735,52.9,0.31824,,
1237,"electricity, at cogen 200kWe lean burn, allocation exergy",CH,kWh,0,natural gas,cogeneration,10.46,0.55343,52.9,0.64402,,
1238,"electricity, at cogen 200kWe lean burn, allocation heat",CH,kWh,0,natural gas,cogeneration,0.01,0.00057501,57.5,0.00060544,,
1239,"electricity, at cogen 500kWe lean burn, allocation energy",CH,kWh,0,natural gas,cogeneration,5.34,0.28247,52.9,0.32873,,
1240,"electricity, at cogen 500kWe lean burn, allocation exergy",CH,kWh,0,natural gas,cogeneration,9.94,0.52604,52.9,0.61223,,
1241,"electricity, at cogen 500kWe lean burn, allocation heat",CH,kWh,0,natural gas,cogeneration,0.01,0.00044073,44.1,0.00046492,,
1242,"electricity, at cogen 50kWe lean burn, allocation energy",CH,kWh,0,natural gas,cogeneration,5.27,0.27877,52.9,0.32426,,
1243,"electricity, at cogen 50kWe lean burn, allocation exergy",CH,kWh,0,natural gas,cogeneration,11.25,0.59532,52.9,0.69258,,
1244,"electricity, at cogen 50kWe lean burn, allocation heat",CH,kWh,0,natural gas,cogeneration,0.01,0.00081623,81.6,0.00085696,,
6918,"electricity, natural gas, allocation exergy, at PEM fuel cell 2kWe, future",CH,kWh,0,natural gas,cogeneration,12.13,0.64388,53.1,0.71441,,
6923,"electricity, natural gas, allocation exergy, at SOFC fuel cell 125kWe, future",CH,kWh,0,natural gas,cogeneration,8.45,0.44762,53,0.49693,,
6928,"electricity, natural gas, allocation exergy, at SOFC-GT fuel cell 180kWe, future",CH,kWh,0,natural gas,cogeneration,7.2,0.3813,53,0.42326,,
6913,"electricity, natural gas, allocation exergy, at micro gas turbine 100kWe",CH,kWh,0,natural gas,cogeneration,11.83,0.62665,53,0.69915,,
1284,"heat, at Mini-BHKW, allocation energy",CH,MJ,0,natural gas,cogeneration,1.36,0.072042,53,0.082105,,
1285,"heat, at Mini-BHKW, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.52,0.027691,53.3,0.031607,,
1286,"heat, at Mini-BHKW, allocation heat",CH,MJ,0,natural gas,cogeneration,1.88,0.099638,53,0.11353,,
1254,"heat, at cogen 160kWe Jakobsberg, allocation electricity",CH,MJ,0,natural gas,cogeneration,0,0.00015429,#DIV/0!,0.00016922,,
1255,"heat, at cogen 160kWe Jakobsberg, allocation energy",CH,MJ,0,natural gas,cogeneration,1.59,0.084055,52.9,0.094896,,
1256,"heat, at cogen 160kWe Jakobsberg, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.6,0.031617,52.7,0.035692,,
1257,"heat, at cogen 160kWe Jakobsberg, allocation heat",CH,MJ,0,natural gas,cogeneration,2.48,0.13125,52.9,0.14818,,
1258,"heat, at cogen 160kWe Jakobsberg, allocation price",CH,MJ,0,natural gas,cogeneration,0.87,0.046038,52.9,0.051973,,
1259,"heat, at cogen 160kWe lambda=1, allocation electricity",CH,MJ,0,natural gas,cogeneration,0,0.00013746,#DIV/0!,0.00015076,,
1260,"heat, at cogen 160kWe lambda=1, allocation energy",CH,MJ,0,natural gas,cogeneration,1.39,0.073718,53,0.083225,,
1261,"heat, at cogen 160kWe lambda=1, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.51,0.027,52.9,0.03048,,
1262,"heat, at cogen 160kWe lambda=1, allocation heat",CH,MJ,0,natural gas,cogeneration,2.21,0.11693,52.9,0.13201,,
1263,"heat, at cogen 160kWe lambda=1, allocation price",CH,MJ,0,natural gas,cogeneration,0.75,0.039848,53.1,0.044985,,
1264,"heat, at cogen 1MWe lean burn, allocation energy",CH,MJ,0,natural gas,cogeneration,1.49,0.07871,52.8,0.091614,,
1265,"heat, at cogen 1MWe lean burn, allocation energy",RER,MJ,0,natural gas,cogeneration,1.46,0.078359,53.7,0.090982,,0.3275352
1266,"heat, at cogen 1MWe lean burn, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.44,0.023388,53.2,0.027218,,
1267,"heat, at cogen 1MWe lean burn, allocation exergy",RER,MJ,0,natural gas,cogeneration,0.43,0.023284,54.1,0.027031,,
1268,"heat, at cogen 1MWe lean burn, allocation heat",CH,MJ,0,natural gas,cogeneration,2.75,0.14568,53,0.16957,,
1269,"heat, at cogen 1MWe lean burn, allocation heat",RER,MJ,0,natural gas,cogeneration,2.7,0.14503,53.7,0.1684,,
1270,"heat, at cogen 200kWe lean burn, allocation energy",CH,MJ,0,natural gas,cogeneration,1.42,0.075413,53.1,0.087757,,
1271,"heat, at cogen 200kWe lean burn, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.49,0.026049,53.2,0.030307,,
1272,"heat, at cogen 200kWe lean burn, allocation heat",CH,MJ,0,natural gas,cogeneration,2.33,0.12354,53,0.14377,,
1273,"heat, at cogen 500kWe lean burn, allocation energy",CH,MJ,0,natural gas,cogeneration,1.48,0.078143,52.8,0.090947,,0.3274092
1274,"heat, at cogen 500kWe lean burn, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.48,0.025194,52.5,0.029316,,
1275,"heat, at cogen 500kWe lean burn, allocation heat",CH,MJ,0,natural gas,cogeneration,2.63,0.13945,53,0.16231,,
1276,"heat, at cogen 50kWe lean burn, allocation energy",CH,MJ,0,natural gas,cogeneration,1.44,0.076418,53.1,0.088903,,
1277,"heat, at cogen 50kWe lean burn, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.52,0.027587,53.1,0.032085,,
1278,"heat, at cogen 50kWe lean burn, allocation heat",CH,MJ,0,natural gas,cogeneration,2.25,0.11929,53,0.13879,,
1279,"heat, at local distribution cogen 160kWe Jakobsberg, allocation electricity",CH,MJ,0,natural gas,cogeneration,0.75,0.046598,62.1,0.048661,,
1280,"heat, at local distribution cogen 160kWe Jakobsberg, allocation energy",CH,MJ,0,natural gas,cogeneration,1.45,0.083638,57.7,0.09048,,
1281,"heat, at local distribution cogen 160kWe Jakobsberg, allocation exergy",CH,MJ,0,natural gas,cogeneration,1.01,0.060488,59.9,0.064343,,
1282,"heat, at local distribution cogen 160kWe Jakobsberg, allocation heat",CH,MJ,0,natural gas,cogeneration,1.84,0.10447,56.8,0.114,,
1283,"heat, at local distribution cogen 160kWe Jakobsberg, allocation price",CH,MJ,0,natural gas,cogeneration,1.13,0.066854,59.2,0.071531,,
1287,"heat, at module cogen 160kWe Jakobsberg, allocation electricity",CH,MJ,0,natural gas,cogeneration,0.22,0.01166,53,0.013297,,
1288,"heat, at module cogen 160kWe Jakobsberg, allocation energy",CH,MJ,0,natural gas,cogeneration,1.32,0.069898,53,0.07905,,
1289,"heat, at module cogen 160kWe Jakobsberg, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.63,0.033499,53.2,0.037954,,
1290,"heat, at module cogen 160kWe Jakobsberg, allocation heat",CH,MJ,0,natural gas,cogeneration,1.94,0.10266,52.9,0.11604,,
1291,"heat, at module cogen 160kWe Jakobsberg, allocation price",CH,MJ,0,natural gas,cogeneration,0.82,0.043509,53.1,0.049256,,
1292,"heat, at system cogen 160kWe Jakobsberg, allocation electricity",CH,MJ,0,natural gas,cogeneration,0.68,0.043553,64,0.045458,,
1293,"heat, at system cogen 160kWe Jakobsberg, allocation energy",CH,MJ,0,natural gas,cogeneration,1.34,0.078496,58.6,0.084909,,
1294,"heat, at system cogen 160kWe Jakobsberg, allocation exergy",CH,MJ,0,natural gas,cogeneration,0.93,0.056656,60.9,0.060252,,
1295,"heat, at system cogen 160kWe Jakobsberg, allocation heat",CH,MJ,0,natural gas,cogeneration,1.72,0.098151,57.1,0.1071,,
1296,"heat, at system cogen 160kWe Jakobsberg, allocation price",CH,MJ,0,natural gas,cogeneration,1.05,0.062662,59.7,0.067033,,
6916,"heat, natural gas, allocation exergy, at PEM fuel cell 2kWe, future",CH,MJ,0,natural gas,cogeneration,0.34,0.018046,53.1,0.020353,,
6921,"heat, natural gas, allocation exergy, at SOFC fuel cell 125kWe, future",CH,MJ,0,natural gas,cogeneration,0.4,0.021139,52.8,0.02347,,
6926,"heat, natural gas, allocation exergy, at SOFC-GT fuel cell 180kWe, future",CH,MJ,0,natural gas,cogeneration,0.34,0.018004,53,0.019989,,
6911,"heat, natural gas, allocation exergy, at micro gas turbine 100kWe",CH,MJ,0,natural gas,cogeneration,0.56,0.029597,52.9,0.033022,,
6939,maintenance PEM fuel cell 2kWe,CH,unit,0,natural gas,cogeneration,1070.41,65.022,60.7,73.874,,
6940,"maintenance SOFC fuel cell 125kWe, future",CH,unit,0,natural gas,cogeneration,51787,2558.4,49.4,3017.5,,
6941,"maintenance SOFC-GT fuel cell 180kWe, future",CH,unit,0,natural gas,cogeneration,53565,2658.8,49.6,3125.5,,
6938,maintenance micro gas turbine 100kWe,CH,unit,0,natural gas,cogeneration,3231.69,182.48,56.5,196.31,,
1300,"maintenance, Mini-BHKW",CH,unit,0,natural gas,cogeneration,10576.8,613.97,58,660.29,,
1299,"maintenance, cogen unit 160kWe",RER,unit,0,natural gas,cogeneration,520937,30266,58.1,31483,,
1311,"natural gas, burned in Mini-BHKW",CH,MJ,0,natural gas,cogeneration,1.23,0.064854,52.7,0.073896,,
1304,"natural gas, burned in cogen 160kWe Jakobsberg",CH,MJ,0,natural gas,cogeneration,1.22,0.06437,52.8,0.072669,,
1305,"natural gas, burned in cogen 160kWe lambda=1",CH,MJ,0,natural gas,cogeneration,1.22,0.06437,52.8,0.072669,,
1306,"natural gas, burned in cogen 1MWe lean burn",CH,MJ,0,natural gas,cogeneration,1.21,0.064138,53,0.074651,,
1307,"natural gas, burned in cogen 1MWe lean burn",RER,MJ,0,natural gas,cogeneration,1.19,0.063852,53.7,0.074137,,
1308,"natural gas, burned in cogen 200kWe lean burn",CH,MJ,0,natural gas,cogeneration,1.21,0.064295,53.1,0.074816,,
1309,"natural gas, burned in cogen 500kWe lean burn",CH,MJ,0,natural gas,cogeneration,1.21,0.064193,53.1,0.074709,,
1310,"natural gas, burned in cogen 50kWe lean burn",CH,MJ,0,natural gas,cogeneration,1.22,0.064487,52.9,0.075018,,
11053,"natural gas, at consumer",RNA,MJ,0,natural gas,fuels,1.12,0.0058427,5.2,0.013344,,
6154,"natural gas, from high pressure network (1-5 bar), at service station",CH,kg,0,natural gas,fuels,58.63,0.38133,6.5,0.56862,,
6156,"natural gas, from low pressure network (<0.1 bar), at service station",CH,kg,0,natural gas,fuels,63.54,0.45097,7.1,0.79342,,
6155,"natural gas, from medium pressure network (0.1-1 bar), at service station",CH,kg,0,natural gas,fuels,59.87,0.39784,6.6,0.58654,,
1319,"natural gas, high pressure, at consumer",CH,MJ,0,natural gas,fuels,1.19,0.0074567,6.3,0.011239,,
1320,"natural gas, high pressure, at consumer",RER,MJ,0,natural gas,fuels,1.18,0.0074666,6.3,0.011162,,
1321,"natural gas, high pressure, at consumer",BE,MJ,0,natural gas,fuels,1.09,0.0030324,2.8,0.0036554,,
1322,"natural gas, high pressure, at consumer",DE,MJ,0,natural gas,fuels,1.24,0.0077863,6.3,0.011821,,
1323,"natural gas, high pressure, at consumer",FR,MJ,0,natural gas,fuels,1.16,0.0082039,7.1,0.011968,,
1324,"natural gas, high pressure, at consumer",IT,MJ,0,natural gas,fuels,1.16,0.0085362,7.4,0.011948,,
1325,"natural gas, high pressure, at consumer",NL,MJ,0,natural gas,fuels,1.14,0.0024067,2.1,0.002977,,
1326,"natural gas, high pressure, at consumer",AT,MJ,0,natural gas,fuels,1.35,0.013151,9.7,0.021532,,
1327,"natural gas, high pressure, at consumer",ES,MJ,0,natural gas,fuels,1.13,0.0086128,7.6,0.010142,,
1328,"natural gas, high pressure, at consumer",CZ,MJ,0,natural gas,fuels,1.26,0.01197,9.5,0.020075,,
1329,"natural gas, high pressure, at consumer",DK,MJ,0,natural gas,fuels,1,0.0035484,3.5,0.0041401,,
1330,"natural gas, high pressure, at consumer",FI,MJ,0,natural gas,fuels,1.3,0.012865,9.9,0.022054,,
1331,"natural gas, high pressure, at consumer",GR,MJ,0,natural gas,fuels,1.31,0.013412,10.2,0.02268,,
1332,"natural gas, high pressure, at consumer",HU,MJ,0,natural gas,fuels,1.35,0.013014,9.6,0.021773,,
1333,"natural gas, high pressure, at consumer",IE,MJ,0,natural gas,fuels,1,0.003704,3.7,0.0043202,,
1334,"natural gas, high pressure, at consumer",SE,MJ,0,natural gas,fuels,1,0.0036868,3.7,0.004304,,
1335,"natural gas, high pressure, at consumer",SK,MJ,0,natural gas,fuels,1.31,0.013561,10.4,0.022856,,
1336,"natural gas, high pressure, at consumer",GB,MJ,0,natural gas,fuels,1,0.0013607,1.4,0.0019443,,
10771,"natural gas, high pressure, at consumer",JP,MJ,0,natural gas,fuels,1.39,0.020888,15,0.022699,,
1337,"natural gas, low pressure, at consumer",CH,MJ,0,natural gas,fuels,1.2,0.0077525,6.5,0.014675,,
6153,"natural gas, production mix, at service station",CH,kg,0,natural gas,fuels,58.8,0.38371,6.5,0.57419,,
1342,"heat, natural gas, at boiler atm. low-NOx condensing non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.28,0.067114,52.4,0.074468,,
1343,"heat, natural gas, at boiler atmospheric low-NOx non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.39,0.073154,52.6,0.08117,,
1344,"heat, natural gas, at boiler atmospheric non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.31,0.068983,52.7,0.076615,,
1345,"heat, natural gas, at boiler condensing modulating <100kW",RER,MJ,0,natural gas,heating systems,1.22,0.06424,52.7,0.071327,,
1346,"heat, natural gas, at boiler condensing modulating >100kW",RER,MJ,0,natural gas,heating systems,1.17,0.062835,53.7,0.066687,,
1347,"heat, natural gas, at boiler fan burner low-NOx non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.45,0.076225,52.6,0.084464,,
1348,"heat, natural gas, at boiler fan burner non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.32,0.069484,52.6,0.077144,,
1349,"heat, natural gas, at boiler modulating <100kW",RER,MJ,0,natural gas,heating systems,1.29,0.068173,52.8,0.075697,,
1350,"heat, natural gas, at boiler modulating >100kW",RER,MJ,0,natural gas,heating systems,1.24,0.066682,53.8,0.070767,,
1351,"heat, natural gas, at industrial furnace >100kW",RER,MJ,0,natural gas,heating systems,1.25,0.067323,53.9,0.071324,,0.2567664
1352,"heat, natural gas, at industrial furnace low-NOx >100kW",RER,MJ,0,natural gas,heating systems,1.37,0.07308,53.3,0.077434,,0.2787624
1354,"natural gas, burned in boiler atm. low-NOx condensing non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.28,0.067114,52.4,0.074468,,0.2680848
1355,"natural gas, burned in boiler atmospheric burner non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.23,0.065079,52.9,0.072278,,0.2602008
1356,"natural gas, burned in boiler atmospheric low-NOx non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.28,0.067114,52.4,0.074468,,0.2680848
1357,"natural gas, burned in boiler condensing modulating <100kW",RER,MJ,0,natural gas,heating systems,1.24,0.065551,52.9,0.072782,,0.2620152
1358,"natural gas, burned in boiler condensing modulating >100kW",RER,MJ,0,natural gas,heating systems,1.19,0.064118,53.9,0.068048,,0.2449728
1359,"natural gas, burned in boiler fan burner low-NOx non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.31,0.068671,52.4,0.076093,,0.2739348
1360,"natural gas, burned in boiler fan burner non-modulating <100kW",RER,MJ,0,natural gas,heating systems,1.24,0.065551,52.9,0.072778,,0.2620008
1361,"natural gas, burned in boiler modulating <100kW",RER,MJ,0,natural gas,heating systems,1.24,0.065551,52.9,0.072785,,0.262026
1362,"natural gas, burned in boiler modulating >100kW",RER,MJ,0,natural gas,heating systems,1.19,0.064118,53.9,0.068045,,0.244962
1363,"natural gas, burned in industrial furnace >100kW",RER,MJ,0,natural gas,heating systems,1.19,0.064118,53.9,0.067928,,
1364,"natural gas, burned in industrial furnace low-NOx >100kW",RER,MJ,0,natural gas,heating systems,1.23,0.065838,53.5,0.06976,,
5877,"blast furnace gas, burned in power plant",RER,MJ,0,natural gas,power plants,0,0.20003,#DIV/0!,0.20038,,
5876,"coke oven gas, burned in power plant",RER,MJ,0,natural gas,power plants,1.38,0.061897,44.9,0.074197,,
1365,"electricity, industrial gas, at power plant",AT,kWh,0,natural gas,power plants,16.25,0.73039,44.9,0.87553,,
1366,"electricity, industrial gas, at power plant",BE,kWh,0,natural gas,power plants,4.48,1.6954,378.4,1.7379,,
1367,"electricity, industrial gas, at power plant",CENTREL,kWh,0,natural gas,power plants,4.98,2.1697,435.7,2.2175,,
1368,"electricity, industrial gas, at power plant",DE,kWh,0,natural gas,power plants,6.65,1.4411,216.7,1.5025,,
1369,"electricity, industrial gas, at power plant",ES,kWh,0,natural gas,power plants,5.24,1.3754,262.5,1.4241,,
1370,"electricity, industrial gas, at power plant",FR,kWh,0,natural gas,power plants,1.45,2.0133,1388.5,2.0296,,
1371,"electricity, industrial gas, at power plant",IT,kWh,0,natural gas,power plants,1.48,2.0065,1355.7,2.023,,
1372,"electricity, industrial gas, at power plant",NL,kWh,0,natural gas,power plants,0.01,2.0203,202030,2.0238,,
1373,"electricity, industrial gas, at power plant",NORDEL,kWh,0,natural gas,power plants,2.96,1.2933,436.9,1.3217,,
1374,"electricity, industrial gas, at power plant",UCTE,kWh,0,natural gas,power plants,3.94,1.7193,436.4,1.7571,,
1375,"electricity, natural gas, at combined cycle plant, best technology",RER,kWh,0,natural gas,power plants,7.4,0.39814,53.8,0.42334,,
1376,"electricity, natural gas, at power plant",UCTE,kWh,0,natural gas,power plants,11.19,0.60197,53.8,0.6402,,
1377,"electricity, natural gas, at power plant",AT,kWh,0,natural gas,power plants,14.02,0.7091,50.6,0.79968,,
1378,"electricity, natural gas, at power plant",BE,kWh,0,natural gas,power plants,9.53,0.518,54.4,0.52642,,
1379,"electricity, natural gas, at power plant",ES,kWh,0,natural gas,power plants,8.77,0.49971,57,0.51413,,
1380,"electricity, natural gas, at power plant",FR,kWh,0,natural gas,power plants,8.24,0.45672,55.4,0.48587,,
1381,"electricity, natural gas, at power plant",IT,kWh,0,natural gas,power plants,11.12,0.62082,55.8,0.6567,,
1382,"electricity, natural gas, at power plant",LU,kWh,0,natural gas,power plants,17.36,0.93343,53.8,0.99271,,
1383,"electricity, natural gas, at power plant",NL,kWh,0,natural gas,power plants,11.25,0.57621,51.2,0.58515,,
1384,"electricity, natural gas, at power plant",DE,kWh,0,natural gas,power plants,10.18,0.52523,51.6,0.55988,,
1385,"electricity, natural gas, at power plant",CENTREL,kWh,0,natural gas,power plants,15.31,0.80004,52.3,0.90558,,
1386,"electricity, natural gas, at power plant",NORDEL,kWh,0,natural gas,power plants,9.79,0.552,56.4,0.59474,,
1387,"electricity, natural gas, at power plant",GB,kWh,0,natural gas,power plants,8.32,0.47579,57.2,0.48342,,
6696,"electricity, natural gas, at power plant",JP,kWh,0,natural gas,power plants,12.81,0.71065,55.5,0.73038,,
7310,"electricity, natural gas, at power plant",US,kWh,0,natural gas,power plants,11.79,0.59506,50.5,0.67777,,
11041,"electricity, natural gas, at power plant",ASCC,kWh,0,natural gas,power plants,14.27,0.70958,49.7,0.80901,,
11042,"electricity, natural gas, at power plant",ERCOT,kWh,0,natural gas,power plants,11.46,0.57806,50.4,0.65802,,
11043,"electricity, natural gas, at power plant",FRCC,kWh,0,natural gas,power plants,16.17,0.81321,50.3,0.92376,,
11044,"electricity, natural gas, at power plant",MRO,kWh,0,natural gas,power plants,14.27,0.71974,50.4,0.81929,,
